code,system
R95,icpc2
475431013,icpc2
H3...00,icpc2
475431013,icpc2
H3...00,icpc2
198471000000111,icpc2
1780380013,icpc2
199481000000116,icpc2
940161000006110,icpc2
967571000006116,icpc2
940141000006111,icpc2
1780381012,icpc2
189761000000117,icpc2
1856491000006119,icpc2
1484971019,icpc2
1484924013,icpc2
940151000006113,icpc2
XaJlT,icpc2
XaJlV,icpc2
XaIu7,icpc2
XaJlW,icpc2
XaJlU,icpc2
Y1f1b,icpc2
XaIRO,icpc2
XaIQT,icpc2
XaIu8,icpc2
XafhZ,icpc2
66YD.00,icpc2
66YB.00,icpc2
9Oi1.00,icpc2
9Oi2.00,icpc2
9Oi0.00,icpc2
66YS.00,icpc2
66YT.00,icpc2
9Oi3.00,icpc2
1780380013,icpc2
199481000000116,icpc2
1484924013,icpc2
189761000000117,icpc2
1780381012,icpc2
1484971019,icpc2
940161000006110,icpc2
967571000006116,icpc2
940151000006113,icpc2
1856491000006119,icpc2
198471000000111,icpc2
940141000006111,icpc2
66YT.00,icpc2
66YD.00,icpc2
66YS.00,icpc2
66YB.00,icpc2
9Oi1.00,icpc2
9Oi3.00,icpc2
9Oi0.00,icpc2
9Oi2.00,icpc2
1970601000006119,icpc2
1970581000006112,icpc2
1970561000006119,icpc2
1970591000006110,icpc2
1970541000006118,icpc2
4510801000006114,icpc2
216596014,icpc2
XaIND,icpc2
H3A..00,icpc2
216596014,icpc2
4510801000006114,icpc2
H3A..00,icpc2
1704531000006115,icpc2
967531000006119,icpc2
1704571000006117,icpc2
940131000006118,icpc2
XaJlS,icpc2
9kf0.00,icpc2
9Oi..00,icpc2
9kf2.00,icpc2
967531000006119,icpc2
940131000006118,icpc2
9Oi..00,icpc2
1856571000006116,icpc2
2152091000000112,icpc2
457168017,icpc2
1222335015,icpc2
2716351000006113,icpc2
2716231000006114,icpc2
909711000006111,icpc2
H3...,icpc2
X101k,icpc2
XaZ8t,icpc2
XaK8Q,icpc2
XaEIV,icpc2
H36..00,icpc2
8CMV.00,icpc2
H3z..11,icpc2
